htm,alg,notes
6,F2 L F U' L' F,
6,L F' U' F U L',
6,L F' U' F U' L',
6,L F' U' F U2 L',
6,L F' U' L F L2,
6,L R U L' U R',
6,L R U R' U L',
6,L R U R' U' L',
6,L R U R' U2 L',
6,L R U2 L' U2 R',
6,L R U2 R' U L',
6,L R U2 R' U' L',
6,L R U2 R' U2 L',
6,L U L' F' U2 F,
6,L U L' R U2 R',
6,L U R U' L' R',
6,L U' F' U F L',
6,L U' L' F' U F,
6,L U' R U' L' R',
6,L U2 F' U2 F L',
6,L U2 F2 L F2 L2,
6,L U2 R U2 L' R',
6,L2 F' L' U2 F L',
6,L2 F2 L' F2 U L',
6,L2 F2 L' F2 U' L',
6,L2 F2 L' F2 U2 L',
6,R B' U B U R',
6,R B' U R B R2,
6,R B' U' B U R',
6,R B' U' B U2 R',
